Open,High,Low,Close,Volume,date
1042.0,1065.0,1029.0,1032.0,74800,2021-11-25
1040.0,1045.0,1023.0,1032.0,71300,2021-11-24
1036.0,1040.0,1013.0,1031.0,169200,2021-11-22
1059.0,1073.0,1033.0,1047.0,266600,2021-11-19
1075.0,1085.0,1047.0,1051.0,154000,2021-11-18
1092.0,1106.0,1071.0,1080.0,112000,2021-11-17
1095.0,1113.0,1070.0,1086.0,203200,2021-11-16
1121.0,1124.0,1086.0,1092.0,184500,2021-11-15
1188.0,1188.0,1099.0,1113.0,592700,2021-11-12
1272.0,1296.0,1258.0,1278.0,177400,2021-11-11
1293.0,1296.0,1265.0,1272.0,63900,2021-11-10
1285.0,1294.0,1270.0,1271.0,40000,2021-11-09
1270.0,1289.0,1258.0,1285.0,46600,2021-11-08
1283.0,1285.0,1266.0,1273.0,72700,2021-11-05
1305.0,1314.0,1275.0,1284.0,65000,2021-11-04
1304.0,1322.0,1288.0,1293.0,37800,2021-11-02
1310.0,1313.0,1285.0,1292.0,36400,2021-11-01
1294.0,1303.0,1279.0,1299.0,50100,2021-10-29
1274.0,1308.0,1255.0,1294.0,69700,2021-10-28
1303.0,1303.0,1256.0,1274.0,59000,2021-10-27
1305.0,1309.0,1283.0,1288.0,31400,2021-10-26
1279.0,1286.0,1256.0,1283.0,41400,2021-10-25
1271.0,1302.0,1253.0,1279.0,77700,2021-10-22
1293.0,1306.0,1271.0,1273.0,66200,2021-10-21
1284.0,1309.0,1279.0,1299.0,74400,2021-10-20
1291.0,1305.0,1257.0,1275.0,70800,2021-10-19
1309.0,1320.0,1292.0,1300.0,64500,2021-10-18
1298.0,1313.0,1280.0,1297.0,57600,2021-10-15
1292.0,1292.0,1261.0,1271.0,64400,2021-10-14
1296.0,1312.0,1278.0,1278.0,66400,2021-10-13
1313.0,1329.0,1306.0,1312.0,39500,2021-10-12
1326.0,1330.0,1306.0,1322.0,61100,2021-10-11
1296.0,1315.0,1277.0,1303.0,104600,2021-10-08
1330.0,1335.0,1266.0,1266.0,208400,2021-10-07
1400.0,1405.0,1327.0,1339.0,136600,2021-10-06
1351.0,1411.0,1324.0,1400.0,169200,2021-10-05
1390.0,1405.0,1369.0,1379.0,114800,2021-10-04
1370.0,1413.0,1355.0,1372.0,151800,2021-10-01
1352.0,1394.0,1352.0,1380.0,131200,2021-09-30
1310.0,1369.0,1305.0,1350.0,152100,2021-09-29
1349.0,1349.0,1302.0,1340.0,178600,2021-09-28
1398.0,1398.0,1342.0,1354.0,173400,2021-09-27
1379.0,1408.0,1368.0,1403.0,129900,2021-09-24
1398.0,1400.0,1348.0,1348.0,164400,2021-09-22
1402.0,1423.0,1386.0,1400.0,214100,2021-09-21
